eprewmean,misc/epoch,misc/total_timesteps
-103.11100430589025,0,2048
-97.63544231929086,1,4096
-93.06958244743504,2,6144
-88.63066809417998,3,8192
-85.06142042519586,4,10240
-80.83819548005609,5,12288
-77.31626304067713,6,14336
-74.20606644304559,7,16384
-64.9769632853064,8,18432
-62.827773448774266,9,20480
-61.130897377571664,10,22528
-59.161851593027414,11,24576
-56.87069695143483,12,26624
-54.88176429646861,13,28672
-52.85481250591257,14,30720
-50.03421966308259,15,32768
-48.3285073830833,16,34816
-46.70338090507337,17,36864
-45.145222187041796,18,38912
-43.66895091105067,19,40960
-42.25751295808908,20,43008
-40.93764693137903,21,45056
-39.67422891480754,22,47104
-38.45877883272822,23,49152
-37.32709653209892,24,51200
-36.21412302040008,25,53248
-35.200569532303135,26,55296
-34.2242000551977,27,57344
-33.278806008836284,28,59392
-32.38480078070692,29,61440
-31.52903142294259,30,63488
-30.713233146013874,31,65536
-29.934965500699462,32,67584
-29.198119499773306,33,69632
-28.485188515884136,34,71680
-27.469246749798028,35,73728
-26.824986511495645,36,75776
-26.20769999777819,37,77824
-25.614798859452076,38,79872
-25.04779522624313,39,81920
-24.500184931511967,40,83968
-23.971172593896362,41,86016
-23.464238178128028,42,88064
-22.976093802146643,43,90112
-22.50666945111929,44,92160
-22.054927093827438,45,94208
-21.61891274408026,46,96256
-21.19696703702836,47,98304
-20.78987772545884,48,100352
