eprewmean,misc/epoch,misc/total_timesteps
-103.11712153141028,0,2048
-97.5751570860824,1,4096
-93.01447301078643,2,6144
-88.57105765462211,3,8192
-85.0089595465324,4,10240
-80.80859884848884,5,12288
-77.29676795575836,6,14336
-74.19465415791602,7,16384
-64.99181444695891,8,18432
-62.89117569086447,9,20480
-61.27249468982495,10,22528
-59.338014034578585,11,24576
-57.080498054580744,12,26624
-55.12644263638433,13,28672
-53.12078344050913,14,30720
-50.3214780418648,15,32768
-48.622806387547406,16,34816
-47.003110709825194,17,36864
-45.448676882034036,18,38912
-43.9784541580275,19,40960
-42.573669208922226,20,43008
-41.259545358948245,21,45056
-39.9970384463321,22,47104
-38.75103529628202,23,49152
-37.58368061945338,24,51200
-36.44085234410408,25,53248
-35.400388629247864,26,55296
-34.40305443609213,27,57344
-33.44197102952472,28,59392
-32.52763643248659,29,61440
-31.650967573855887,30,63488
-30.81654240584843,31,65536
-30.020593446431285,32,67584
-29.267532544004897,33,69632
-28.5366720567819,34,71680
-27.493029969857563,35,73728
-26.83374937991242,36,75776
-26.20715028023408,37,77824
-25.606404145859933,38,79872
-25.031688112143694,39,81920
-24.475423009613753,40,83968
-23.94141857183008,41,86016
-23.43161855042365,42,88064
-22.939798933318,43,90112
-22.46955072363004,44,92160
-22.014877424305773,45,94208
-21.577647685267987,46,96256
-21.155550031286456,47,98304
-20.749155262904434,48,100352
