eprewmean,misc/epoch,misc/total_timesteps
-100.11518574334309,0,2048
-96.69183752058035,1,4096
-90.70621901416092,2,6144
-86.14358054226891,3,8192
-82.15200420080382,4,10240
-79.54947686009582,5,12288
-76.29637108315339,6,14336
-73.42880253012564,7,16384
-70.34673314355808,8,18432
-67.19346845620944,9,20480
-64.35056580648765,10,22528
-61.62785741703285,11,24576
-59.21239920858862,12,26624
-56.909940829364686,13,28672
-54.7292236983873,14,30720
-52.623341410526194,15,32768
-50.64060252251017,16,34816
-48.836733259111,17,36864
-47.160597637571534,18,38912
-44.82613219146375,19,40960
-43.35738116209372,20,43008
-41.97105714409744,21,45056
-40.683046401527335,22,47104
-39.474400765485484,23,49152
-38.310050401420256,24,51200
-37.20853238794547,25,53248
-36.16195128336725,26,55296
-35.15209873141208,27,57344
-34.184951842817085,28,59392
-33.27999003479221,29,61440
-32.4087270804172,30,63488
-31.564521478797662,31,65536
-30.74638908215973,32,67584
-29.968641891175533,33,69632
-29.22240049316917,34,71680
-28.504483722473587,35,73728
-27.821705064126583,36,75776
-27.165949089988132,37,77824
-26.53911624537392,38,79872
-25.643897899989696,39,81920
-25.07752311995987,40,83968
-24.534412457473376,41,86016
-24.0116794269152,42,88064
-23.508759114796224,43,90112
-23.02613062703228,44,92160
-22.561215981350532,45,94208
-22.114120270895,46,96256
-21.683992103314953,47,98304
-21.26970533817275,48,100352
