entropy,eplenmean,eprewmean,fps,kl,misc/epoch,misc/time_elapsed,misc/total_timesteps
1.418938398361206,999.0,-104.93844677341295,810,0.0024809003807604313,0,2.5275164999999995,2048
1.3727320432662964,999.0,-102.35791378676707,526,0.002468997612595558,1,6.421332900000001,4096
1.3251198530197144,999.0,-97.82941219925458,541,0.0024670097045600414,2,10.202991,6144
1.278558611869812,999.0,-93.02423459100585,540,0.0024884177837520838,3,13.9939193,8192
1.2337056398391724,999.0,-88.46363429331214,554,0.00248501799069345,4,17.6906748,10240
1.1881026029586792,999.0,-84.33878782256633,563,0.002436202485114336,5,21.330083899999998,12288
1.1412469148635864,999.0,-80.49224540525691,551,0.0024505448527634144,6,25.0431042,14336
1.093145489692688,999.0,-77.23020818878409,564,0.002472790190950036,7,28.6721421,16384
1.0456846952438354,999.0,-74.0837180077834,552,0.0024434817023575306,8,32.3809662,18432
0.9991797804832458,999.0,-71.25961287554784,556,0.0024177823215723038,9,36.0612146,20480
0.9538403749465942,999.0,-68.53524880427285,553,0.002448208397254348,10,39.7609415,22528
0.9057093858718872,999.0,-65.88742182453858,552,0.0024457979016005993,11,43.4695626,24576
0.858116090297699,999.0,-63.56500053772508,545,0.002473263069987297,12,47.2271439,26624
0.8108614683151245,999.0,-61.21585019869378,551,0.002465717261657119,13,50.9404126,28672
0.763364851474762,999.0,-59.00710516746494,555,0.002456346759572625,14,54.630287,30720
0.7149477601051331,999.0,-56.86514233863873,564,0.002465213416144252,15,58.2622956,32768
0.6666465401649475,999.0,-54.91189627319385,616,0.0024113303516060114,16,61.5853302,34816
0.6256125569343567,999.0,-53.047218280126145,603,0.009844044223427773,17,64.9791956,36864
0.535316526889801,999.0,-51.267160211777416,607,0.0025535929016768932,18,68.35080380000001,38912
0.5129995346069336,999.0,-48.74023613856763,591,0.0024485806934535503,19,71.8115979,40960
0.46578070521354675,999.0,-47.16464452073024,613,0.002459484152495861,20,75.1498491,43008
0.417293518781662,999.0,-45.66820966397634,610,0.002457037102431059,21,78.5062532,45056
0.37044140696525574,999.0,-44.24562288706174,612,0.0024677012115716934,22,81.85162,47104
0.32329463958740234,999.0,-42.91653351062962,581,0.002471168991178274,23,85.3757311,49152
0.27587056159973145,999.0,-41.63659752332177,618,0.0024514079559594393,24,88.6883095,51200
0.22777915000915527,999.0,-40.43535360639687,580,0.0024582084733992815,25,92.2205714,53248
0.18080605566501617,999.0,-39.266452070496655,601,0.0024571549147367477,26,95.6262625,55296
0.13254201412200928,999.0,-38.15985269913334,599,0.0024543406907469034,27,99.04415350000001,57344
0.08387577533721924,999.0,-37.11235646237536,614,0.0024633812718093395,28,102.3804282,59392
0.03540468215942383,999.0,-36.10935333180361,605,0.00984015129506588,29,105.7614025,61440
-0.05014181137084961,999.0,-35.12954300736794,606,0.0024224184453487396,30,109.1417428,63488
-0.09819161891937256,999.0,-34.19859903330455,590,0.002458727452903986,31,112.6090451,65536
-0.14687752723693848,999.0,-33.31391009561032,615,0.0024593286216259003,32,115.9383123,67584
-0.19360674917697906,999.0,-32.46398481650181,603,0.0024612119887024164,33,119.3314812,69632
-0.2368158996105194,999.0,-31.650156287979684,601,0.0023946715518832207,34,122.73886350000001,71680
-0.2797255218029022,999.0,-30.881103475436337,586,0.0024634015280753374,35,126.2292698,73728
-0.32753702998161316,999.0,-30.144751717435852,618,0.0024349794257432222,36,129.5414228,75776
-0.37374040484428406,999.0,-29.441146044981192,603,0.0024596829898655415,37,132.9368018,77824
-0.4224429428577423,999.0,-28.76469679719092,606,0.002425046404823661,38,136.3158924,79872
-0.4600781798362732,999.0,-27.801134303322627,600,0.002459101378917694,39,139.7291169,81920
-0.5082592964172363,999.0,-27.18903533595339,612,0.002440617885440588,40,143.0735246,83968
-0.5486010909080505,999.0,-26.603029601735305,601,0.009983082301914692,41,146.4775624,86016
-0.632316529750824,999.0,-26.035314218904997,605,0.00247951433993876,42,149.8593944,88064
-0.6673551797866821,999.0,-25.4942832443071,598,0.0025686619337648153,43,153.2853886,90112
-0.6974362730979919,999.0,-24.97277480509179,607,0.0024720344226807356,44,156.65959610000002,92160
-0.7447157502174377,999.0,-24.471102783584453,605,0.0025464685168117285,45,160.04470080000002,94208
-0.7843894362449646,999.0,-23.988272387917004,602,0.009707390330731869,46,163.4424663,96256
-0.8421888947486877,999.0,-23.522588466995423,601,0.002453193301334977,47,166.8467642,98304
-0.8863916993141174,999.0,-23.07389615631485,613,0.0024571670219302177,48,170.1871816,100352
